direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,sample_size
0.5605195921109565,0.5274866137425761,0.6719851098731074,0.76563,0.4112,0.04207027942440982,0.05671227241815261,0.008769365446877784,2500
0.5221320577453923,0.694831262192358,0.699408936044215,0.76553,0.386,0.05924255829377737,0.004998311527593711,0.004371995098645024,2500
0.5671889254449248,0.7289754966291446,0.7330729461388843,0.76793,0.4004,0.040296979013526246,0.0015174533328699829,0.0012150142038767212,2500
0.5002604309296734,0.7202584586272396,0.7253071478816437,0.76614,0.3912,0.07069194524902259,0.0021051158387403296,0.0016673218121195546,2500
0.5188333669359017,0.7450788903807618,0.750771909252377,0.76644,0.4252,0.061309044737339044,0.000456297004165111,0.00024548906767574906,2500
0.5416685787978344,0.6669084244905482,0.6703143057964076,0.76713,0.3944,0.050832852450500336,0.010044364197596741,0.00937327864412351,2500
0.5991096740479377,0.5394551577279947,0.7824041740445876,0.76624,0.4144,0.0279325458528426,0.05143136468433834,0.00026128052254371903,2500
0.5696544138871271,0.656093648984397,0.6625810153825209,0.76738,0.4148,0.03909540740367909,0.012384651922367984,0.010982827176854611,2500
0.4768410320842374,0.5147478881983883,0.6302339609317942,0.76637,0.4024,0.08382702326236668,0.06331368714750275,0.01853302113318006,2500
0.6202676916911083,0.7354454821241692,0.7413393197625592,0.76876,0.404,0.022049965626902947,0.0011098571012990526,0.0007518937046839775,2500
0.5242093518543451,0.5229550642106072,0.658797041678566,0.76728,0.4068,0.059083339989948726,0.059694674248490884,0.011768552246169977,2500
0.5189808587804008,0.5216648095459403,0.6630499577694107,0.76698,0.402,0.06150357404565871,0.06017954266751158,0.01080145367805208,2500
0.5416202753867915,0.5386246691535657,0.6617521559469111,0.76762,0.4112,0.051075875525246076,0.052438861549467905,0.011208000404449154,2500
0.6022085451066572,0.5329796169708655,0.6757259719159556,0.76679,0.4124,0.027087055294809415,0.05466729521223058,0.008292657210891617,2500
0.6507791627445245,0.7891671314651508,0.7938613896722314,0.76669,0.4296,0.013435322193265318,0.0005052214389016743,0.0007382844167202447,2500
0.5420360223907844,0.5326427794569145,0.7153597930969822,0.76866,0.408,0.05135842722742225,0.055704128392883454,0.002840912055904511,2500
0.6243664809817598,0.7408290003560097,0.748168864886801,0.76867,0.41,0.02082350560104759,0.000775121261176664,0.0004202965409296391,2500
0.6041605218077898,0.5458181945640669,0.7089696311634123,0.7673,0.4104,0.026614489344826627,0.04905419013916053,0.0034024319286123624,2500
0.49703089412027857,0.5387960578997075,0.6818561682219019,0.76724,0.4108,0.07301296090031853,0.0521866346823218,0.007290398729110565,2500
0.4685630670904847,0.6276906819307649,0.6339045657018365,0.76725,0.3972,0.0892138838908933,0.019476803259949917,0.017781004848165832,2500
0.4553674961110868,0.6757708244721411,0.6817267410223607,0.76699,0.4052,0.0971085849299957,0.008320937983982323,0.0072698233314879715,2500
0.51569738697395,0.5137628078270764,0.6272951756751044,0.76803,0.41,0.06367174759655432,0.06465180501550245,0.019806290777759222,2500
0.5353379113957444,0.525812735166166,0.6793599428432651,0.768,0.4092,0.0541316474736945,0.058654671247693656,0.00785705973274924,2500
0.5880208908638475,0.544137575998835,0.6872591310042045,0.76938,0.4144,0.03289112646665887,0.05073414956992055,0.006743837124624591,2500
0.5163187721838471,0.5347738004654375,0.6552810835481995,0.7682,0.43,0.0634441529261727,0.054487790629149366,0.012750681692648707,2500
0.6234573290492834,0.7737940878425063,0.7793903916250511,0.76699,0.4108,0.020601627630246665,4.629561136854205e-05,0.00015376971245463828,2500
0.5093613407220559,0.7557898171329507,0.763190248233733,0.76685,0.41,0.06630040965675323,0.000122327645052572,1.3393782990694303e-05,2500
0.50115849477284,0.7285905383332268,0.7339466482181946,0.76551,0.4228,0.0698817183158652,0.0013630466497643343,0.0009962451757020026,2500
0.489019303485618,0.525699054313601,0.6516247210015269,0.76723,0.422,0.07740119165501755,0.05833719772416622,0.013364580532314796,2500
0.584484645188238,0.7951956996061171,0.801356874426174,0.76714,0.4304,0.033362978641410704,0.0007871222803886787,0.001170794495496556,2500
