direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,sample_size
0.45555994825738544,0.4804384157368042,0.6218655816586217,0.81786,0.403,0.13126132749270122,0.11385332552668498,0.03841381202097521,1000
0.41811438777659227,0.6526578314906215,0.6627097437900098,0.81825,0.391,0.16010850816940134,0.027420766271638412,0.024192771301869406,1000
0.4701507949167509,0.5069204338567785,0.6606743138271854,0.81925,0.429,0.12187025498975645,0.09754975788721297,0.02514624824517898,1000
0.41139307616898346,0.6180073721266335,0.6279787731082445,0.81886,0.395,0.16602929401631145,0.04034177812363706,0.03643564277970187,1000
0.46383525329831443,0.5304742731964136,0.7061238032798217,0.81686,0.413,0.12462647178378927,0.08201678451681844,0.01226250526405003,1000
0.5198655286731267,0.5434021917794812,0.7478126148215961,0.81807,0.43,0.08892590671933995,0.07544240487266365,0.004936100172106601,1000
0.41025834303568876,0.4948805633667447,0.6209688936158104,0.81968,0.405,0.16762609319140212,0.10549467403728001,0.03948610380042869,1000
0.4332585642361104,0.504789384591201,0.6186411506148778,0.81698,0.419,0.14724214026470087,0.09746298034932464,0.03933829917541421,1000
0.3581487280789141,0.6661683463217458,0.6759297847244354,0.81621,0.395,0.20982012883396298,0.022512497838505164,0.019678538797758736,1000
0.46760678452527926,0.5003105766742445,0.632452745682994,0.81818,0.417,0.12290157940828499,0.10104097028544837,0.034494612996133815,1000
0.37921472762940245,0.4945913583512325,0.6461158320657833,0.81774,0.407,0.1923044145077068,0.10442504459944356,0.029454855019112235,1000
0.4581764141619763,0.519130444333337,0.6636827259926361,0.81817,0.423,0.1295953818445185,0.08942465585331522,0.023866317830226316,1000
0.5175729782028572,0.5383349544307054,0.7074945649791555,0.81489,0.413,0.08839741145032269,0.07648269322983459,0.011533779463316428,1000
0.5420980918725762,0.7986894831308844,0.8096207848305539,0.81863,0.436,0.07646989621259395,0.00039762421300748287,8.116595796937742e-05,1000
0.4942886830606842,0.4185436090669209,0.7276067027787232,0.81614,0.406,0.1035882702155719,0.15808289008300985,0.007838144716870936,1000
0.5303364430438667,0.5412672270495509,0.7458493849706335,0.81624,0.415,0.08174084388016892,0.07561002586405922,0.004954838684212477,1000
0.5537907668396818,0.6588322829979085,0.6686915552692764,0.81651,0.414,0.06902139547234563,0.024862262438991634,0.021850292602609983,1000
0.5103360539748575,0.405835213373943,0.7848624271308804,0.81807,0.397,0.09470018153620531,0.1699375193046307,0.0011027428958578862,1000
0.39621804046894676,0.7297528383431795,0.7412009275417862,0.82154,0.394,0.18089876925933493,0.008424883045015309,0.006454366563446129,1000
0.47983051200895105,0.6457092978308864,0.6570750826650371,0.81946,0.413,0.11534818911306204,0.030189306504260015,0.02636886137788272,1000
0.35805624414642456,0.47403420344508457,0.5930278655279632,0.81747,0.384,0.21106099906748865,0.11794814635530929,0.050374271726363884,1000
0.4763797193179795,0.6558130450493384,0.6655685528520124,0.81709,0.407,0.11608349536242117,0.026010256198157743,0.02295874894582038,1000
0.5105293297646782,0.6754961402765202,0.6852653548742988,0.81854,0.425,0.09487057297881216,0.02046154580459059,0.01776213103338159,1000
0.4305215169754869,0.47785953060613795,0.6109940436008146,0.81793,0.406,0.15008533271935448,0.1156479241537617,0.0428224900508456,1000
0.5508245560381286,0.7179129653849059,0.7278429657257841,0.81723,0.427,0.07097186057252179,0.009863873364735803,0.00799004189633985,1000
0.4801951642236614,0.520469630312454,0.6534090469050211,0.81824,0.431,0.11427431099505173,0.08866719306385781,0.02716924309819912,1000
0.3965425849661408,0.621707698485786,0.6348465379375271,0.82012,0.392,0.17941782652676616,0.03936744139216735,0.03432625574461457,1000
0.5659386378151291,0.5322301521719602,0.6816465422505902,0.81829,0.424,0.06368120999655988,0.08183023653940125,0.018671434545714734,1000
0.4317838099759459,0.7350987989166676,0.7457512514382781,0.81887,0.413,0.14983571850733812,0.007017614130944105,0.005346351391232301,1000
0.48725855841279453,0.46839225828382536,0.5895913465261917,0.81963,0.405,0.11047077518275712,0.12336795120587819,0.052917782092042835,1000
