direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,context_dim
0.4566273852297442,0.3281767923732715,0.8604715647187376,0.95562,0.3044,0.24899362959525692,0.3936849787969179,0.009053224736472576,30
0.39900895290492167,0.4599879950378402,0.7128576177937782,0.95565,0.3034,0.30984925531110524,0.2456808231631081,0.058948140857372086,30
0.38872993383707166,0.451348048511637,0.7098631173521085,0.95598,0.2932,0.32177263756184665,0.2546534064629536,0.060573519924316026,30
0.368831112239019,0.3139280303325083,0.8426251307928362,0.95533,0.2926,0.34398094534486784,0.411396486693338,0.012702387543003905,30
0.47282202690554204,0.4590644068807591,0.7042691239321552,0.95593,0.3044,0.23339331366743546,0.24687541762573498,0.06333319654323509,30
0.4367380091038458,0.45965326871059253,0.7141196553673678,0.9559,0.297,0.26952917279125854,0.24626081831542135,0.0584577350506744,30
0.4833858178853698,0.45923073933402103,0.727552379416079,0.95676,0.3014,0.22408311629269514,0.2475353652188357,0.05253613333374272,30
0.4946986676012239,0.8970233351683983,0.901707402332617,0.95616,0.296,0.21294656129925374,0.003497145127405202,0.002965085392725882,30
0.5329045445875967,0.485334061105244,0.7629723733820813,0.95513,0.3164,0.17827433519821137,0.22070822420200534,0.036924553467431454,30
0.4976960109575457,0.9110736832706938,0.9168831482483071,0.95454,0.3028,0.20870643032422218,0.0018893206900123668,0.0014180384838489825,30
0.421192329563834,0.4656180327952472,0.8667154377498019,0.95476,0.3138,0.2846944589346771,0.2392598640809355,0.0077518449418290235,30
0.4259757410961889,0.44963555826447116,0.7130218961113788,0.95482,0.3026,0.2796762501755212,0.255211320171638,0.05846632304413246,30
0.388783600749497,0.8596120041358237,0.8652499431370675,0.95478,0.3038,0.3203519239645347,0.009056947436803865,0.008015631081879922,30
0.4527115681801678,0.4669429926238375,0.7189629853516308,0.95461,0.3012,0.25190203586320675,0.2378191100832221,0.05552951551268869,30
0.360711857887307,0.45127977033286226,0.696079459548775,0.95446,0.3018,0.35253685626227466,0.25319034352787345,0.06676050368386709,30
0.4791882099223356,0.4462236555130246,0.6895004213310686,0.95573,0.2992,0.22709207769042475,0.25959671507248044,0.07087818855823672,30
0.4919458969758072,0.867613608917905,0.8724249540913632,0.9556,0.3002,0.2149751272511688,0.0077416050156513755,0.006918088261903836,30
0.40272292607724985,0.9125289163787109,0.9181653561367398,0.95442,0.2946,0.30436966137492455,0.001754862886965838,0.0013143992016518356,30
0.43004349419390325,0.4476039047596787,0.7031845566146161,0.95464,0.2954,0.2752014939039662,0.2570856018765522,0.06322984000814003,30
0.4680043221122847,0.47780498164410845,0.7272039138327152,0.95612,0.316,0.2382569149997838,0.22878525678479683,0.05240257450614774,30
0.48453025527654553,0.8328092773483516,0.8351311218856585,0.95537,0.3002,0.22169006521124782,0.015021130736894284,0.014457387810195479,30
0.44839026147743144,0.8766426855538976,0.8819690587380198,0.95442,0.2948,0.25606609626921917,0.006049310642447901,0.005249138889746914,30
0.43175833963234134,0.4648373607864905,0.8460428868121456,0.95531,0.3106,0.2741063410737322,0.24056340981706542,0.01193930202440739,30
0.4738768439776415,0.46995291584687304,0.7268355957471374,0.95623,0.3026,0.23266456712472974,0.23646540257246734,0.05262179270252575,30
0.5039929677820356,0.853798439820714,0.8592932530128666,0.95602,0.3004,0.2043284378557806,0.010449247365487382,0.00935606358271291,30
0.475925577670869,0.46671765856251696,0.7286673884885524,0.95628,0.2976,0.23074037105115314,0.23967128615375075,0.05180750091906118,30
0.4623905468646906,0.3236351589219736,0.704887794916276,0.95466,0.3006,0.24232921449013653,0.39819235005754844,0.062386154432385876,30
0.42539540074704774,0.3179525387625815,0.713295023319828,0.95337,0.2972,0.2787571774563156,0.40375535004540636,0.05763599442798517,30
0.4526343342918046,0.8343170244934276,0.8366895717221664,0.95652,0.2998,0.2539007641061912,0.014933567222659944,0.014359331541249031,30
0.4564760449741203,0.3196689029100914,0.8866165218970632,0.95614,0.2986,0.2496640679521043,0.4050954574308318,0.004833514007529532,30
