actual_value,cme_estimator,cme_estimator_square_error,direct_estimator,direct_estimator_square_error,doubly robust estimator,doubly robust estimator_square_error,ips_estimator,ips_estimator_square_error,null_reward,multiplier
0.7656,0.5661084046708331,0.03979689660697606,0.4097148326984719,0.12665425230523658,0.39912264646745405,0.13430565065221864,0.656699105241739,0.011859404879149821,0.25,-0.9
0.76401,0.49817302234923216,0.07066929868649482,0.3508039181191637,0.17073926610331233,0.3884942151524268,0.14101210466968883,0.5666335668609451,0.03895745635869578,0.2512,-0.9
0.76284,0.5484960957817314,0.04594330927553028,0.45248325450967114,0.09632130947134875,0.37028400868601014,0.15410020631650925,0.5318930733034571,0.05333648295057832,0.2556,-0.9
0.76267,0.6304164088764097,0.01749101236508579,0.46223849899258185,0.09025908679757028,0.443008015740453,0.10218378418075084,0.4656324630600206,0.0882312983513696,0.2614,-0.9
0.76579,0.5590947639949139,0.04272292058719824,0.5352367194623318,0.05315481516668074,0.4265126403821495,0.11510912674926024,0.5793705997141745,0.03475219280292683,0.2468,-0.9
0.76567,0.6255631873943274,0.019629918938521056,0.41989593677905307,0.11955970279632337,0.48047457560194773,0.08133643009758512,0.4515003213492843,0.09870258698349393,0.2498,-0.9
0.76535,0.5288096600879455,0.05595133240571027,0.4318854523695595,0.11119860452637431,0.3723941489699142,0.15441430085877897,0.49903612523596946,0.07092307989183173,0.2454,-0.9
0.76218,0.5558043204296532,0.04259092111812244,0.39210705867025814,0.13695398190444655,0.4367870562267797,0.10588056785740207,0.3996785084146526,0.13140733140160168,0.2522,-0.9
0.76353,0.5676993623866743,0.038349638628041714,0.47038711721915927,0.08593274972506175,0.41568258784896017,0.1209978221401754,0.8874564981897465,0.015357776953573227,0.25,-0.9
0.76622,0.5829581291427913,0.03358491331008424,0.5159863492280812,0.06261687997864264,0.4538651666076452,0.09756554194356573,0.5106198234287055,0.06533145026327694,0.255,-0.9
0.76276,0.5736293253751751,0.03577041208404139,0.42330693656072255,0.11522838227831012,0.4026976062052145,0.12964492742523118,0.659089347644094,0.010747604159899119,0.2556,-0.9
0.76477,0.5177529547734946,0.06101742063243339,0.4067859876065164,0.12815255312933777,0.3853272807720206,0.14397677717512317,0.5074185399412354,0.06622977399437788,0.257,-0.9
0.76186,0.5338507685564023,0.05198820962350007,0.40460426133305316,0.1276316628104658,0.4429571372901132,0.10169903584456089,0.6096743787312822,0.023160463320945616,0.257,-0.9
0.76603,0.5785929121669587,0.03513266189533122,0.4806169003363279,0.0814606374596252,0.4366103326540628,0.10851731723430792,0.7267546253371442,0.0015425550549076953,0.2464,-0.9
0.7668,0.5278124756834753,0.05711503677894149,0.3933042440374569,0.13949907972203157,0.4040214672898719,0.13160826379531348,0.5130295260794886,0.06439945343384097,0.2392,-0.9
0.76387,0.621685499842515,0.020216432085033872,0.4971104647372824,0.07116064965358111,0.5135397544138122,0.06266523185524114,0.843016305262961,0.006264137636777802,0.2616,-0.9
0.76463,0.5460412797514541,0.04778102861989707,0.4553485434379403,0.09565501937314924,0.3499495453734029,0.17195987944932128,0.5557617173961293,0.04362595947789039,0.243,-0.9
0.76868,0.5507961327981854,0.04747337958681799,0.4231310893700755,0.11940404963752758,0.4475839036583438,0.10310270308585019,0.8426327361041909,0.0054690071772960916,0.2576,-0.9
0.76626,0.546134741784134,0.0484551293046017,0.4124206494284561,0.125202286012892,0.4759118493144072,0.08430204860654372,0.687891840176956,0.00614156847405017,0.2412,-0.9
0.76564,0.5784617696444714,0.03503568991902733,0.44366503699122695,0.10366787680450076,0.44545717679226265,0.10251704027727718,0.5626160721408007,0.041218715283377366,0.2514,-0.9
0.76328,0.6020798739113269,0.025985480651004096,0.4618130135805458,0.09088234390082738,0.41326680262209764,0.1225092383387024,0.7872922645237265,0.0005765888475574148,0.253,-0.9
0.76237,0.5828495390384096,0.032227595903861886,0.40870162097501916,0.1250813223221575,0.37351453791226324,0.15120857039546728,0.8800743283435762,0.013854308910812407,0.2608,-0.9
0.7622,0.6294654272885907,0.017618466792880406,0.4232216567686973,0.11490631717983887,0.4630121946039351,0.0895133428977136,0.5621990767053238,0.040000369318722966,0.2578,-0.9
0.76417,0.5457767349675297,0.04769561821154284,0.38226878562515076,0.14584853754098456,0.3698324716841648,0.15550208623824216,0.8662844385544995,0.01042735856130066,0.2476,-0.9
0.76739,0.527232658449895,0.05767554870041381,0.4469765108382322,0.1026648040368183,0.34997905406679486,0.17423189778485312,0.4880367687839241,0.07803822779086238,0.2574,-0.9
0.76348,0.608888655876898,0.02389848367778736,0.5375870378622665,0.05102763034335953,0.5276073782008022,0.05563589371442744,0.45346770870268105,0.09610762075541376,0.2558,-0.9
0.76457,0.6148689772619271,0.022410396208825,0.4412911829781114,0.10450919353507172,0.44071895300702935,0.10487950063844327,0.4697446473665168,0.08692198855545771,0.2612,-0.9
0.7632,0.5184692791985275,0.05989312570400829,0.37387542674377544,0.15157362334114136,0.33677961928208067,0.18183434109161525,0.4094660645907157,0.1251276970601397,0.2568,-0.9
0.76652,0.5499034454877901,0.04692273168874118,0.39235672902707347,0.13999815334515964,0.4645448355354484,0.09118899995339298,0.636227665666985,0.016976092385946162,0.245,-0.9
0.76439,0.5930204809147053,0.029367512071525197,0.4983993235664956,0.07075103994955326,0.48994068407422026,0.07532242701212846,0.46306906295407213,0.09079430710223603,0.2484,-0.9
0.76645,0.530403906194103,0.055717758401022284,0.46046962727199914,0.09362398849476632,0.4144792053486147,0.12388344028752761,0.5753521556613194,0.0365183861108906,0.2642,-0.9
0.76307,0.5830817772405438,0.03239576033210764,0.47342456415373163,0.08389447850657478,0.4614606639801501,0.09096819157433474,0.47378593312682227,0.08368527134668519,0.2608,-0.9
0.7641,0.5563425515948981,0.043163157367798584,0.4266130749800471,0.11389742455942332,0.4625702417191389,0.09092019512891451,0.24471136879705208,0.26976455022287177,0.2512,-0.9
0.76615,0.6150063191244483,0.022844412268610625,0.4508784366431345,0.09939615866148206,0.4739099916145934,0.08540422250110251,0.7285417792693593,0.001414378266524596,0.2544,-0.9
0.76315,0.5829801295339351,0.032461182223758614,0.454618192137868,0.09519187646267552,0.4597196418665964,0.09206998223696555,0.6215534218704835,0.02004959093798828,0.2494,-0.9
0.76374,0.5432618221988282,0.0486106268865251,0.5330292240866448,0.0532274621225424,0.46073304522409064,0.09181321464256996,0.5883017165289359,0.030778591307273426,0.2584,-0.9
0.76669,0.5543287675229376,0.045097293059176945,0.4037567125977603,0.1317205711045967,0.3668705009620842,0.15985563181092996,0.8026497268368233,0.001293101954178954,0.2486,-0.9
0.76675,0.5532710469598595,0.045573263391114525,0.4592635003099778,0.09454794749162204,0.42840252230809767,0.11447901566047237,0.676725951023844,0.008104329394061336,0.2602,-0.9
0.76219,0.6290840973938556,0.0177171813085964,0.5431995336498554,0.047956824352253825,0.5341183987398678,0.052016655301360765,0.6387914273712276,0.01522720772681842,0.2614,-0.9
0.76622,0.4897531957117802,0.07643389387334082,0.360724817056408,0.16442634339045714,0.36624281765342553,0.15998174639790488,0.4157424610849246,0.12283450528396822,0.2548,-0.9
0.76725,0.5152550269560122,0.06350146643944012,0.4312628591683949,0.11288735880419683,0.4156542134344024,0.12361959713068126,0.8369814899264665,0.004862480687364898,0.2488,-0.9
0.76437,0.48246705207078155,0.07946927205118365,0.33996380770448775,0.1801206160587753,0.2882791640667692,0.22666248405960251,0.6896275197273984,0.005586438357300232,0.244,-0.9
0.76432,0.5728185295575724,0.036672813181611974,0.45462638351068163,0.095910136094233,0.383792565157272,0.1448011286679866,0.4998780376762468,0.06992955143763732,0.2576,-0.9
0.76304,0.5998204174193055,0.026640632137816176,0.5194190023491195,0.059351190496410335,0.45885486110350393,0.09252859872548064,0.5454660821651123,0.047338409722022495,0.2568,-0.9
0.76402,0.5615086844322948,0.04101083293296267,0.46328356248264546,0.09044240485062971,0.37451298986379306,0.15171571094524725,0.4533164027151631,0.09653672536573812,0.2608,-0.9
0.76561,0.5380586171073485,0.0517796318563581,0.39214365332756446,0.13947711209685582,0.4461525218762716,0.10205308032917243,0.6906033234766397,0.005626001523080016,0.2556,-0.9
0.76429,0.5424131970595073,0.049229315683094244,0.468873846911658,0.08727070350551473,0.41111571055652746,0.12473207872390174,0.6479770732384728,0.013528696931832406,0.2562,-0.9
0.76518,0.5799715147468305,0.03430218300977349,0.487510202888609,0.07710051622788101,0.44980446691630466,0.09946172686782499,0.69957407555133,0.004304137322764592,0.2618,-0.9
