direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,num_users
0.5920098948211492,0.7465722824929897,0.7573591649839932,0.81986,0.411,0.0519156704300134,0.0053710895373873515,0.0039063543776981,50
0.580024492914736,0.5985526448239455,0.7667134424279757,0.81699,0.4,0.056152651548176294,0.047714878136309764,0.0025277322412930758,50
0.5762323390917204,0.8052909989904934,0.8166239165777803,0.82067,0.4098,0.05974977007031106,0.00023651367205040566,1.6370791059560932e-05,50
0.6085815907260987,0.5930031602260815,0.7449318587929213,0.81929,0.4118,0.04439803373873786,0.05120573385486706,0.005529133163771844,50
0.6321578892250848,0.7787554972550733,0.7856593877739092,0.81898,0.4146,0.034902501074394715,0.0016180106210766177,0.0011102631991215144,50
0.6189383807581493,0.763568972646705,0.7698104396274517,0.81772,0.4056,0.039514132148412096,0.0029323337634173056,0.0022953259750908544,50
0.6894384995255443,0.7511942760094911,0.7586759677443168,0.81823,0.4312,0.016587250594461738,0.0044937882909316966,0.0035466827579109586,50
0.64153982177975,0.8314515463983662,0.8383204368505567,0.81817,0.4214,0.03119821985811726,0.00017639947473195434,0.0004060401052682746,50
0.6324739793628477,0.791600466744076,0.8002988019143358,0.81592,0.4094,0.033652442487606515,0.0005914396977859911,0.0002440218296315589,50
0.6334736571304842,0.7622121798305355,0.76830241195787,0.81997,0.4142,0.034780885903703984,0.003335965790728202,0.002669539654091256,50
0.6776379843843582,0.5914149530955312,0.7587764903341233,0.8183,0.4164,0.01978580263705507,0.05147682450884304,0.003543048202943719,50
0.5686878738914194,0.4385967045868448,0.7644415089649454,0.81738,0.4032,0.06184777358840616,0.1434767848840496,0.0028024838330685505,50
0.5054098199105332,0.5588484481478514,0.7049680179247987,0.81968,0.4028,0.09876574609346585,0.06803309844160006,0.0131588388316213,50
0.622950503138792,0.5977635901016292,0.7560327427291286,0.81797,0.4124,0.03803260415599872,0.048490862960329305,0.0038362238382381128,50
0.6350064703442284,0.5837516436151473,0.7435573555410261,0.81669,0.4004,0.033008904948179645,0.05426027787527665,0.005348383685562692,50
0.6722107745299222,0.8893512658238375,0.8987099771925694,0.81748,0.4094,0.021103147868676304,0.005165478851120714,0.0065983091947053474,50
0.6281746298159318,0.8285296328087701,0.8351390287846304,0.8185,0.4132,0.036223746535702615,0.00010059353427875794,0.00027685727889575955,50
0.6514108372045138,0.6132322626288687,0.7951167153861102,0.81866,0.4112,0.027972282455791076,0.04220055528142254,0.000554286250410624,50
0.6023522102043428,0.7784859401096251,0.7843988571693504,0.81857,0.4152,0.046750132624119006,0.001606731857295161,0.001167667002352655,50
0.6290965244641736,0.5824908208947912,0.7649787555920602,0.8203,0.414,0.036558769056979364,0.056553205666693286,0.003060440082843015,50
0.6223312200083879,0.6014853237994087,0.7842135517603602,0.82017,0.4108,0.03914018286856947,0.047822987604957456,0.0012928661700098909,50
0.5833919729286574,0.7845221153244624,0.793877066328764,0.81858,0.3968,0.05531340807771056,0.0011599395085722195,0.000610234931965485,50
0.6995530641497689,0.8426801211375983,0.8493741009511871,0.81822,0.4194,0.014081841664082845,0.0005982975260659843,0.0009705780060767634,50
0.7291370474016411,0.6334741704439486,0.8172179325962555,0.82028,0.4238,0.0083070378083467,0.034896417956124526,9.376256785074484e-06,50
0.5951956302684678,0.8140352329523901,0.7641841026763732,0.81863,0.3954,0.04992291757732703,2.1111884221801432e-05,0.0029643557353749134,50
0.6788175159571966,0.792825146827135,0.799860365821349,0.81682,0.419,0.019044685601984194,0.0005757529787873487,0.00028762919147366664,50
0.5874214747700934,0.7683383113138307,0.7734620321350786,0.81747,0.406,0.05292232396045497,0.0024139228331546614,0.001936701235599959,50
0.6170138413087054,0.7477839668028115,0.7544277615603737,0.81948,0.4154,0.040992545415208484,0.0051403211762123605,0.004231793726005989,50
0.6197114846153957,0.7850443340182705,0.7901478060433891,0.81909,0.406,0.03975179239696888,0.0011591073721394956,0.0008376505910220849,50
0.6736536427546597,0.8167167240480083,0.7749899068778907,0.81879,0.4104,0.021064562194447058,4.298473173107062e-06,0.001918448157505447,50
