direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,num_users
0.6245997879499348,0.7881232061474505,0.8000717338640819,0.8119,0.405,0.035081369433999386,0.0005653359259066354,0.00013990787978210525,90
0.5563879227958181,0.5865758142616194,0.7594135140960642,0.80923,0.4076,0.0639291160049255,0.04957488642682128,0.002481682267817038,90
0.7021975069273846,0.8403799058461114,0.8475234633057391,0.8089,0.4252,0.01138542202791153,0.0009909844720800442,0.0014917719177297809,90
0.5754166438786021,0.7633399558855282,0.7721865630196394,0.80973,0.415,0.05490274885687299,0.0021520361929426384,0.0014095096602983045,90
0.6599284915926102,0.8103594372585411,0.8175522265913805,0.80901,0.406,0.022225296149022623,1.8209809147388825e-06,7.296963513848788e-05,90
0.6619267285080592,0.700074427619822,0.7102398025009522,0.80855,0.4056,0.02149838374299937,0.01176694980320724,0.009664894932301783,90
0.5935818045879895,0.7597614757523128,0.7662434856661565,0.80875,0.3976,0.046297352316861135,0.002399875507966235,0.0018068037608132384,90
0.6675940773936586,0.8560614354026118,0.864324986465533,0.809,0.4184,0.019995634948150626,0.0022147787021541995,0.0030608541274114057,90
0.6360190503542039,0.7848600890585452,0.7570613702891276,0.80913,0.4004,0.029967400887269353,0.0005890285771061478,0.002711142199967949,90
0.5664828650067855,0.7987202612085128,0.8080490561244578,0.80853,0.4004,0.058586815558423405,9.623097515720808e-05,2.3130701142155669e-07,90
0.549487969277471,0.5709977642570856,0.7424407990484283,0.80992,0.3868,0.06782484262626028,0.05708383473239275,0.004553442561062591,90
0.5956827819727767,0.5746112645332909,0.747145408136877,0.80873,0.404,0.045389117109139204,0.05481158229653088,0.003792661954947427,90
0.6560394111642547,0.8164384121117968,0.8255988438793157,0.80842,0.4042,0.02321984385392848,6.429493279460912e-05,0.00029511267702990164,90
0.6100860930218454,0.585971950841281,0.7611613070037601,0.80998,0.4078,0.03995757404699116,0.0501796060878951,0.00238326478586113,90
0.6573304970930656,0.8355530570422066,0.8432405357082937,0.80835,0.4112,0.022806890258257582,0.0007400063124415462,0.0012173494820117178,90
0.6001633016671007,0.7430316869770035,0.7543283769559702,0.81256,0.4048,0.045112357462716586,0.004834186311823778,0.003390921922341975,90
0.6191840584307267,0.8468571104611426,0.8529614364374393,0.80981,0.4144,0.03633824959917203,0.0013724883935201028,0.001862046466614359,90
0.6237594487207361,0.6137516384082926,0.790410430336791,0.80873,0.4096,0.03421410484055479,0.03801656148898658,0.0003356066326451643,90
0.5861414551701136,0.5825146167190989,0.7597348959370319,0.80954,0.3928,0.04990690983211077,0.05154052465384008,0.0024805483907230836,90
0.5489078626861736,0.5630538644138608,0.7288767160001909,0.80981,0.3926,0.06806992525492273,0.0608885904494051,0.0065501964589937635,90
0.5731083991083283,0.8162381841671935,0.8234566411607266,0.80957,0.3934,0.05591408869625222,4.446468008761011e-05,0.00019283880272678554,90
0.586302124818112,0.7434263443159013,0.7540546089786062,0.80906,0.401,0.049621070955549615,0.004307776758458826,0.0030255930414164285,90
0.5676049645222396,0.8659817360846936,0.875439458624505,0.80952,0.3938,0.058522884390206066,0.003187927641697594,0.004345375025347826,90
0.6453193658623818,0.816133329982413,0.8232639685300831,0.80982,0.4036,0.02706045863167851,3.985813546683446e-05,0.0001807402898378652,90
0.5920046144970044,0.8106613910899941,0.8190883830489489,0.80907,0.3978,0.047117381583564086,2.532525601312853e-06,0.00010036799891546817,90
0.5953873657683487,0.7875219961524271,0.7560287344354854,0.80843,0.4004,0.04538716400036115,0.00043714462489012124,0.002745892632762787,90
0.6505332850931553,0.8304840405001352,0.7746743909011088,0.81123,0.3988,0.025823434181851714,0.00037071807558084803,0.0013363125565909384,90
0.6500919963588516,0.5890051144091514,0.7710348402803637,0.80854,0.4004,0.025105769857865383,0.04819556599138701,0.0014066370055954296,90
0.560496683579256,0.5709747067389118,0.6964492831469583,0.81162,0.4104,0.06306292005015313,0.057910157168715136,0.013264294020443504,90
0.620669378217488,0.797028601696217,0.8057968437549017,0.80798,0.4096,0.03508526903255126,0.00011993312480810117,4.7661711905119265e-06,90
