direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,multiplier
0.667689774359086,0.8177506326364045,0.8202621269215911,0.81125,0.4016,0.020609538386070134,4.225822467348648e-05,8.121843165086591e-05,-0.29999999999999993
0.6671517102017473,0.7980908363351602,0.8062399171695455,0.8129,0.3986,0.021242563979115423,0.00021931132845200998,4.435670330851475e-05,-0.29999999999999993
0.751043397865276,0.6203638507016661,0.7946122005862875,0.8103,0.4014,0.0035113448965529838,0.03607574081027899,0.00024610705044488034,-0.29999999999999993
0.6636809658867101,0.7898474931579481,0.7976510449128736,0.81279,0.4092,0.022233504054198255,0.0005263586201975983,0.00022918796113002943,-0.29999999999999993
0.7360564111996115,0.8530208591712193,0.8581159175066086,0.81141,0.4008,0.005678163345098027,0.0017314636009670467,0.0021814427301341355,-0.29999999999999993
0.7036166378608668,0.6499438296448554,0.833234251362902,0.81057,0.4158,0.011439021672864572,0.02580076660295993,0.0005136682898408032,-0.29999999999999993
0.7346285648191422,0.8832246091829568,0.8883095314470016,0.80953,0.4076,0.005610224992152241,0.005430895422628738,0.006206214575009125,-0.29999999999999993
0.6262677129572177,0.5980857628078187,0.7734769403851183,0.81107,0.4064,0.03415188529624288,0.04536228529233534,0.0014132381312080484,-0.29999999999999993
0.6704433210528294,0.8033955035818301,0.811284553647167,0.81052,0.4024,0.0196214759848687,5.0758449212516066e-05,5.845422793963429e-07,-0.29999999999999993
0.6978339561875039,0.6386209415466451,0.8276963049341213,0.80989,0.3954,0.01255655695490805,0.02933309038349871,0.00031706449540691166,-0.29999999999999993
0.6437947750122164,0.8117574176623826,0.8172723576490427,0.81282,0.405,0.028569526682170866,1.1290812242163671e-06,1.9823488634989272e-05,-0.29999999999999993
0.6219369665857699,0.6092189884749895,0.7712405129093287,0.80884,0.3866,0.03493274389944081,0.0398485482422684,0.001413721429481557,-0.29999999999999993
0.6398407892797313,0.618404109397376,0.795267374848773,0.80716,0.4072,0.027995718276053672,0.035628786237189757,0.0001414345329875975,-0.29999999999999993
0.6764495083343354,0.6156201292306246,0.7712813172878492,0.81194,0.3998,0.018357673331803534,0.03854149165890426,0.001653128479887349,-0.29999999999999993
0.690081156955369,0.7952872802149118,0.7974050720186563,0.80961,0.3986,0.01428714431958805,0.00020514030204215857,0.00014896026702978789,-0.29999999999999993
0.6677393373227809,0.6172029282718364,0.7956029340756566,0.80943,0.3932,0.020076243889909483,0.036951247105184534,0.00019118775207613707,-0.29999999999999993
0.7178253517395645,0.7968332996714427,0.8054875924329189,0.81018,0.405,0.00852938105530876,0.00017813440966031252,2.2018688775600098e-05,-0.29999999999999993
0.6270844004539499,0.5975334342544022,0.7679774946030576,0.81075,0.3928,0.03373305245661004,0.045461303908346816,0.0018294872179314607,-0.29999999999999993
0.677175168871155,0.8053232555385532,0.8071678882709424,0.80834,0.4068,0.017204212925058405,9.10074714566952e-06,1.373845905394191e-06,-0.29999999999999993
0.7229716364749413,0.8548796160010875,0.8590168575294382,0.81216,0.4006,0.007954564188278014,0.001824965591280374,0.0021955650975340737,-0.29999999999999993
0.6413021639445187,0.8077969660204097,0.8125823907212351,0.81222,0.4044,0.029212906681888414,1.956322958461057e-05,1.313270348372281e-07,-0.29999999999999993
0.679211791020341,0.860090836692086,0.8677589474546055,0.80926,0.4004,0.016912536658817052,0.0025837739588175155,0.003422126853296694,-0.29999999999999993
0.6891008067996696,0.8161813146204335,0.8195630944934016,0.80983,0.3962,0.014575538090802725,4.033919740773207e-05,9.473312841748337e-05,-0.29999999999999993
0.7073284307088282,0.8379800808866574,0.8426522401554756,0.81007,0.395,0.010555830060412642,0.0007789726150997629,0.0010616023735490877,-0.29999999999999993
0.6523824327439041,0.8950060586932701,0.9020329598200818,0.80999,0.4116,0.0248401452563848,0.007227730235737549,0.008471906452441195,-0.29999999999999993
0.6330569639675172,0.7526898420404755,0.7555807034531519,0.81063,0.3912,0.03153218312579342,0.0033570619043746448,0.003030425050302821,-0.29999999999999993
0.692321364828997,0.6223182935588825,0.7964605417619195,0.81218,0.3978,0.014366092425055606,0.0360474675727331,0.0002471013672987575,-0.29999999999999993
0.6030615237402449,0.7987074251301411,0.8071746488424759,0.8102,0.3908,0.04290634834721314,0.00013207927713931197,9.152749626332498e-06,-0.29999999999999993
0.7299953281859222,0.6517489468834163,0.8259830227233487,0.81066,0.4132,0.006506789278872891,0.02525272280262169,0.00023479502538025824,-0.29999999999999993
0.6324330645018194,0.882135017472853,0.8871801181596644,0.81344,0.3986,0.03276351069844255,0.004719005425595564,0.005437605026201253,-0.29999999999999993
