direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,num_items
0.5368060799345652,0.415127579999616,0.8655475674482155,0.82778,0.3752,0.08466582215824602,0.17028201973217327,0.0014263891509555086,40
0.669052464594123,0.6083166794847924,0.8874823363409942,0.82682,0.3748,0.02489059522804464,0.04774370107617154,0.003679919050347901,40
0.6557844843583079,0.8592313670407111,0.8736873042133065,0.82951,0.384,0.030180554784971784,0.0008833596587686714,0.0019516342075550342,40
0.6681446747728175,0.9420641855396683,0.9581850709625233,0.82775,0.3928,0.025473859840874705,0.013067733015597714,0.01701330773699848,40
0.6645364669549207,0.8729530099062662,0.8868250103706099,0.82758,0.3792,0.026583193667821844,0.002058710027954135,0.003509971253813677,40
0.626425552565082,0.6002888570506673,0.8095455551247736,0.82691,0.3806,0.0401940136632844,0.05135714243166192,0.0003015239458247792,40
0.5783652562331362,0.6052845992794571,0.8261927781311909,0.82475,0.379,0.06070544196106314,0.04816506211342846,2.0816087358426175e-06,40
0.5639494187145998,0.8935231952830655,0.9065101602236728,0.8274,0.3642,0.06940620877961527,0.004372276954442406,0.00625841745061518,40
0.6563751437506355,0.9015840482735912,0.9164453747978757,0.82744,0.3728,0.02926318504361571,0.005497339894396626,0.007921956742910333,40
0.5217320363464786,0.7912480661658672,0.80253277603693,0.82809,0.3628,0.09385520189393234,0.00135732808863862,0.000653171696698521,40
0.6140355144189713,0.6019488928023203,0.8012844106170367,0.82662,0.3814,0.0451921635097506,0.050477106409431274,0.0006418920893821237,40
0.5807351318029297,0.8032061686972655,0.8150545845640405,0.82644,0.3702,0.06037088225573967,0.0005398109170039249,0.00012962768464938487,40
0.6155190772231206,0.5965587806358359,0.7816765615483406,0.82678,0.3798,0.04463117749253858,0.05300180984552255,0.00203432016016262,40
0.7421426154851085,0.596911142962579,0.8254079476122855,0.82739,0.3706,0.007267116566629753,0.05312050354127595,3.928531667644465e-06,40
0.5979963993005065,0.819109018180216,0.8320769357904172,0.82635,0.3624,0.05214536695242372,5.243181771444318e-05,3.2797793547561075e-05,40
0.5758755039393108,0.5883674125451014,0.7750765588217559,0.82893,0.3804,0.06403657797652937,0.05787035848299572,0.002900193126738596,40
0.632422147837342,0.5861753380488914,0.77612334024042,0.82733,0.38,0.03798907083466056,0.058155570980753454,0.0026221220037333953,40
0.6873695549393337,0.8440995240857386,0.8584504896842582,0.82758,0.3708,0.019658968904110112,0.0002728946760192993,0.0009529871333458924,40
0.6275398506064407,0.5955413126052537,0.7954355818626376,0.82857,0.3776,0.04041312096519679,0.05430236914891842,0.0010978896653015702,40
0.6205419394695677,0.8355577450242883,0.848676072285888,0.82608,0.3916,0.04224589432661167,8.982765074542011e-05,0.0005105824827490758,40
0.5855821340309243,0.7560743824002996,0.7743392906402753,0.82603,0.3664,0.05781517624908261,0.004893788433755524,0.002671929434111536,40
0.5937766320722558,0.5795696499837946,0.7766358718913364,0.82859,0.3766,0.05513731775757017,0.06201113472219349,0.0026992314275314316,40
0.638943202221032,0.7931291057242384,0.8117521407018877,0.82796,0.3744,0.03572734984261531,0.001213191196049281,0.00026269470302740544,40
0.5879603791723917,0.5988912548081862,0.8097929759625931,0.82704,0.3778,0.05715906509507293,0.052051849932599197,0.00029745983814688986,40
0.6403198607320902,0.8606129703874609,0.879794525524459,0.8278,0.362,0.035148802619914835,0.0010766910256483856,0.002703430684513623,40
0.5880454499883911,0.7747598075646308,0.7867604629666117,0.82932,0.3568,0.058213408483304314,0.0029768145985845118,0.0018113141924963432,40
0.6204070745167721,0.5820784736439547,0.7890342011340747,0.82713,0.3676,0.0427343679203442,0.060050250569427574,0.0014512898912330346,40
0.6600171761868064,0.5955532113415495,0.804427550416556,0.82847,0.38,0.028376353850638844,0.05425023043896532,0.0005780393819724484,40
0.6032888374261179,0.6093370658459901,0.8281113193823959,0.82562,0.3702,0.049431145851453986,0.046778307606267784,6.206672265101412e-06,40
0.6165705476179483,0.8041549853316199,0.822695888066385,0.82862,0.3656,0.044964970255528036,0.0005985369427240553,3.5095102201999334e-05,40
