direct_estimator,direct_kernel_estimator,cme_estimator,actual_value,null_reward,direct_estimator_square_error,direct_kernel_estimator_square_error,cme_estimator_square_error,n_reco
0.4622222008166001,0.5373948337189495,0.7345548953337143,0.81938,0.3958,0.1275616935175298,0.07951563400255171,0.007195298381646321,8
0.44879109356839236,0.5250774861382995,0.7148488564920908,0.81923,0.385,0.13722498339824538,0.0865257014111579,0.010895423120018729,8
0.4389395256643979,0.5372845161645772,0.7295534458050437,0.82252,0.3972,0.1471339802915255,0.08135928123882777,0.00864278019888376,8
0.41260203297838416,0.7454939709015697,0.7539647757967188,0.82163,0.3872,0.16730387780583603,0.005796694926877027,0.004578582566480303,8
0.48175314959433363,0.7675173480902565,0.7762242621620815,0.82251,0.3842,0.11611523109838967,0.00302419176406621,0.0021423695272005158,8
0.4413662181014568,0.5243901625167384,0.7056060058763163,0.82075,0.3852,0.14393205396764136,0.0878291532731052,0.013258139382754906,8
0.5039565979777448,0.7159775408150998,0.7246167424195417,0.82095,0.398,0.10048481692564305,0.011019217187325531,0.009280096516062927,8
0.438282365581649,0.40854643556904885,0.7054833636609552,0.82295,0.3886,0.1479691889690101,0.17173031421307744,0.013798410652809389,8
0.4466468731048997,0.7953126395239442,0.8068722587259337,0.8219,0.3924,0.14081490924455023,0.0007068877370837347,0.00022583300780027441,8
0.42091401007395823,0.8106776918262631,0.8226234703042652,0.82084,0.3986,0.15994079741832448,0.00010327250741799913,3.180766326195726e-06,8
0.4463974086407239,0.6983456923329652,0.7087888803816976,0.82465,0.3884,0.1430750228700075,0.01595277813524899,0.013423799039206569,8
0.4745969748786746,0.5579817090387424,0.8038164520155303,0.82127,0.3988,0.12018218634677108,0.06932072415729978,0.0003046263372461839,8
0.46786562237844537,0.8023672625270275,0.8138750888770808,0.82366,0.392,0.12658963914710938,0.00045338066909292497,9.574448568342644e-05,8
0.4580082039120526,0.5217211637978298,0.6996775119509495,0.82243,0.3858,0.13280324546396552,0.0904258041700636,0.015068173322232281,8
0.39982046184288134,0.7186256280703607,0.7277897928929294,0.82358,0.3762,0.1795721461791345,0.011015420187145058,0.009175763777615467,8
0.44729992133886937,0.7707812264561957,0.7800511999724276,0.8201,0.3878,0.13897989864974522,0.0024323414238650526,0.0016039063836484908,8
0.43919572624868286,0.5119215207896772,0.6573609090497107,0.82082,0.3908,0.14563708631622024,0.09541827045845021,0.026718874414294956,8
0.46884933940273976,0.5459058130591872,0.7263826752689485,0.82053,0.397,0.12367928703812534,0.0754184440529025,0.008863718754014056,8
0.4757075142881233,0.3997357338217698,0.6895803984636938,0.8198,0.3814,0.11839963872337805,0.17645398771985502,0.016957144624274355,8
0.39745263358839245,0.5128367640105774,0.6801431414799902,0.82077,0.3806,0.17919759270565921,0.09482287782691741,0.01977591333720685,8
0.4366352206229527,0.5229970412283143,0.6928084922620262,0.82197,0.3866,0.14848289219755773,0.08938483007669609,0.016682695081146653,8
0.4749201896155197,0.7319457493021416,0.7412412619552243,0.82162,0.3836,0.12020075852063462,0.008041471238222356,0.006460741529670671,8
0.42455413851378937,0.39515220350436464,0.6658940029377903,0.82252,0.3768,0.1583768269084618,0.18264323348153483,0.02453170295573132,8
0.5058293253903429,0.5272455030118748,0.6870062025317282,0.82391,0.3984,0.10117531556013461,0.08800982377321738,0.0187426497612336,8
0.4800395823168999,0.7780203718042618,0.7883903108867535,0.82003,0.3996,0.11559348411632887,0.0017648088611441686,0.0010010699271828921,8
0.48023160412023447,0.5257216836521901,0.7081219913217937,0.82174,0.3866,0.11662798445637067,0.08762684361339208,0.012909051896000978,8
0.4928064797358389,0.8147474632007136,0.8245939488703957,0.82256,0.3972,0.10873738412660647,6.103573124020412e-05,4.136948007384201e-06,8
0.47270415888303197,0.8529597470318225,0.862766083072805,0.82098,0.403,0.12129606150573159,0.0010227042202193594,0.001746076738567357,8
0.46644782513776156,0.5302611852119442,0.7232482073646573,0.82085,0.3828,0.12560090154708461,0.08444185927992698,0.009526109925632423,8
0.4752309045612594,0.7725056721406629,0.7830810474344415,0.8219,0.3852,0.12017946173231463,0.0024397996246756813,0.001506911078287077,8
